u, t, f(u), f(t)
38/177, 139/101, 3939505/5545233, 6903885/1030301
38/179, 141/103, 4106507/5735339, 7136551/1092727
38/181, 143/105, 4277805/5929741, 7374121/1157625
38/183, 145/107, 4453447/6128487, 7616643/1225043
38/185, 147/109, 4633481/6331625, 7864165/1295029
38/187, 149/111, 4817955/6539203, 8116735/1367631
38/189, 151/113, 5006917/6751269, 8374401/1442897
38/191, 153/115, 5200415/6967871, 8637211/1520875
38/193, 155/117, 5398497/7189057, 8905213/1601613
38/195, 157/119, 5601211/7414875, 9178455/1685159
38/197, 159/121, 5808605/7645373, 9456985/1771561
38/199, 161/123, 6020727/7880599, 9740851/1860867
39/40, 79/160, 6479/8000, 6479/512000
39/40, 81/2, 6479/8000, 518320
39/46, 98/81, 1520/12167, 1837585/531441
39/49, 65/128, -4031/117649, -4031/262144
39/56, 53/71, -3905/21952, -46585/357911
39/56, 101/125, -3905/21952, -5467/1953125
39/58, 43/82, -4510/24389, -3190/68921
39/58, 101/144, -4510/24389, -65395/373248
39/58, 153/196, -4510/24389, -65395/941192
39/62, 61/100, -5192/29791, -20119/125000
39/62, 157/196, -5192/29791, -20119/941192
39/68, 117/170, -4805/39304, -111392/614125
39/79, 40, 6319/493039, 499201
39/80, 41/2, 1639/64000, 65560
39/82, 43/4, 3518/68921, 72119/8
39/83, 44/5, 36395/571787, 604157/125
39/85, 46/7, 54397/614125, 660535/343
39/86, 47/8, 8020/79507, 86215/64
39/88, 49/10, 10655/85184, 93764/125
39/89, 50/11, 96569/704969, 781331/1331
39/92, 53/14, 16723/97336, 109894/343
39/94, 55/16, 20168/103823, 118487/512
39/95, 56/17, 175967/857375, 983345/4913
39/97, 58/19, 206929/912673, 1056427/6859
39/98, 59/20, 27910/117649, 136759/1000
39/100, 61/22, 32219/125000, 146450/1331
39/100, 61/58, 32219/125000, 35552/24389
39/101, 62/23, 275885/1030301, 1211495/12167
39/103, 64/25, 313975/1092727, 1293577/15625
39/106, 67/28, 46970/148877, 177815/2744
39/107, 68/29, 397619/1225043, 1467077/24389
39/109, 70/31, 443269/1295029, 1558591/29791
39/110, 71/32, 58384/166375, 200695/4096
39/112, 73/34, 64583/175616, 212744/4913
39/113, 74/35, 542465/1442897, 1751387/42875
39/115, 76/37, 596107/1520875, 1852765/50653
39/116, 77/38, 77995/195112, 238090/6859
39/118, 79/40, 85220/205379, 251399/8000
39/119, 80/41, 711719/1685159, 2065721/68921
39/121, 82/43, 773785/1771561, 2177395/79507
39/122, 83/44, 100738/226981, 279319/10648
39/124, 85/46, 109043/238328, 293942/12167
39/125, 86/47, 906677/1953125, 2411375/103823
39/127, 88/49, 977599/2048383, 2533777/117649
39/128, 89/50, 126775/262144, 324544/15625
39/131, 92/53, 1128635/2248091, 2789645/148877
39/133, 94/55, 1208845/2352637, 2923207/166375
39/134, 95/56, 156268/300763, 373927/21952
39/136, 97/58, 166895/314432, 391340/24389
39/137, 98/59, 1378889/2571353, 3201827/205379
39/139, 100/61, 1468819/2685619, 3346981/226981
39/139, 130/139, 1468819/2685619, 1468819/2685619
39/139, 169/199, 1468819/2685619, 1025959/7880599
39/140, 101/62, 189379/343000, 427630/29791
39/142, 103/64, 201248/357911, 446519/32768
39/145, 106/67, 1758817/3048625, 3806395/300763
39/146, 107/68, 226270/389017, 485815/39304
39/148, 109/70, 239435/405224, 506234/42875
39/149, 110/71, 1969469/3307949, 4133111/357911
39/151, 112/73, 2080135/3442951, 4302745/389017
39/152, 113/74, 267103/438976, 548644/50653
39/154, 115/76, 281618/456533, 570647/54872
39/155, 116/77, 2312387/3723875, 4654805/456533
39/157, 118/79, 2434069/3869893, 4837327/493039
39/158, 119/80, 312040/493039, 616279/64000
39/160, 121/82, 327959/512000, 639920/68921
39/161, 122/83, 2688785/4173281, 5215595/571787
39/163, 124/85, 2821915/4330747, 5411437/614125
39/164, 125/86, 361243/551368, 688882/79507
39/166, 127/88, 378620/571787, 714215/85184
39/167, 128/89, 3099959/4657463, 5816777/704969
39/170, 131/92, 414874/614125, 766615/97336
39/172, 133/94, 433763/636056, 793694/103823
39/173, 134/95, 3547205/5177717, 6459647/857375
39/175, 136/97, 3704527/5359375, 6683425/912673
39/176, 137/98, 473095/681472, 849640/117649
39/178, 139/100, 493550/704969, 878519/125000
39/179, 140/101, 4031819/5735339, 7145501/1030301
39/181, 142/103, 4201885/5929741, 7383895/1092727
39/184, 145/106, 558143/778688, 968852/148877
39/185, 146/107, 4555097/6331625, 7875635/1225043
39/187, 148/109, 4738339/6539203, 8129077/1295029
39/188, 149/110, 603955/830584, 1032214/166375
39/190, 151/112, 627704/857375, 1064855/175616
39/191, 152/113, 5118335/6967871, 8651345/1442897
39/193, 154/115, 5315185/7189057, 8920267/1520875
39/194, 155/116, 676918/912673, 1132087/195112
39/196, 157/118, 702395/941192, 1166690/205379
39/197, 158/119, 5722829/7645373, 9473927/1685159
39/199, 160/121, 5933719/7880599, 9758761/1771561
40/49, 64/79, 2449/117649, 1519/493039
40/81, 41, 6641/531441, 537921
40/83, 43/3, 21387/571787, 591707/27
40/87, 47/7, 56903/658503, 707223/343
40/89, 49/9, 77769/704969, 769049/729
40/91, 51/11, 100771/753571, 833651/1331
40/93, 53/13, 125957/804357, 901077/2197
40/97, 57/17, 183073/912673, 1044593/4913
40/99, 59/19, 215099/970299, 1120779/6859
40/101, 61/21, 249501/1030301, 1199981/9261
40/101, 193/8, 249501/1030301, 6891129/64
40/103, 63/23, 286327/1092727, 1282247/12167
40/107, 67/27, 367443/1225043, 1456163/19683
40/109, 69/29, 411829/1295029, 1547909/24389
40/111, 71/31, 458831/1367631, 1642911/29791
40/113, 73/33, 508497/1442897, 1741217/35937
40/117, 77/37, 616013/1601613, 1947933/50653
40/119, 79/39, 673959/1685159, 2056439/59319
40/121, 81/41, 734761/1771561, 2168441/68921
40/123, 83/43, 798467/1860867, 2283987/79507
40/127, 87/47, 934783/2048383, 2525903/103823
40/129, 89/49, 1007489/2146689, 2652369/117649
40/131, 91/51, 1083291/2248091, 2782571/132651
40/133, 93/53, 1162237/2352637, 2916557/148877
40/137, 97/57, 1329753/2571353, 3196073/185193
40/139, 99/59, 1418419/2685619, 3341699/205379
40/141, 101/61, 1510421/2803221, 3491301/226981
40/143, 103/63, 1605807/2924207, 3644927/250047
40/147, 107/67, 1806923/3176523, 3964443/300763
40/149, 109/69, 1912749/3307949, 4130429/328509
40/151, 111/71, 2022151/3442951, 4300631/357911
40/153, 113/73, 2135177/3581577, 4475097/389017
40/157, 117/77, 2372293/3869893, 4837013/456533
40/159, 119/79, 2496479/4019679, 5024559/493039
40/161, 121/81, 2624481/4173281, 5216561/531441
40/163, 123/83, 2756347/4330747, 5413067/571787
40/167, 127/87, 3031863/4657463, 5819783/658503
40/169, 129/89, 3175609/4826809, 6030089/704969
40/171, 131/91, 3323411/5000211, 6245091/753571
40/173, 133/93, 3475317/5177717, 6464837/804357
40/177, 137/97, 3791633/5545233, 6918753/912673
40/179, 139/99, 3956139/5735339, 7153019/970299
40/181, 141/101, 4124941/5929741, 7392221/1030301
40/183, 143/103, 4298087/6128487, 7636407/1092727
40/187, 147/107, 4657603/6539203, 8139923/1225043
40/189, 149/109, 4844069/6751269, 8399349/1295029
40/191, 151/111, 5035071/6967871, 8663951/1367631
40/193, 153/113, 5230657/7189057, 8933777/1442897
40/197, 157/117, 5635773/7645373, 9489293/1601613
40/199, 159/119, 5845399/7880599, 9775079/1685159
41/5, 137/8, 484253/125, 2421265/64
41/5, 197/63, 484253/125, 41853295/250047
41/9, 137/128, 431065/729, 431065/262144
41/17, 101/117, 327665/4913, 295885/1601613
41/19, 73/90, 302715/6859, 532/91125
41/81, 47/62, -6479/531441, -3344/29791
41/83, 42, 6971/571787, 578593
41/84, 43/2, 1805/74088, 75810
41/85, 44/3, 22413/614125, 635035/27
41/86, 45/4, 3862/79507, 83033/8
41/87, 46/5, 39895/658503, 694173/125
41/88, 47/6, 6177/85184, 90596/27
41/89, 48/7, 59465/704969, 756055/343
41/90, 49/8, 8756/91125, 98505/64
41/91, 50/9, 81171/753571, 820729/729
41/92, 51/10, 11605/97336, 106766/125
41/93, 52/11, 105061/804357, 888243/1331
41/94, 53/12, 14730/103823, 115385/216
41/95, 54/13, 131183/857375, 958645/2197
41/96, 55/14, 18137/110592, 124368/343
41/97, 56/15, 159585/912673, 1031983/3375
41/98, 57/16, 21832/117649, 133721/512
41/99, 58/17, 190315/970299, 1108305/4913
41/100, 59/18, 25821/125000, 143450/729
41/101, 60/19, 223421/1030301, 1187659/6859
41/102, 61/20, 30110/132651, 153561/1000
41/103, 62/21, 258951/1092727, 1270093/9261
41/104, 63/22, 34705/140608, 164060/1331
41/105, 64/23, 296953/1157625, 1355655/12167
41/106, 65/24, 39612/148877, 174953/1728
41/107, 66/25, 337475/1225043, 1444393/15625
41/108, 67/26, 44837/157464, 186246/2197
41/109, 68/27, 380565/1295029, 1536355/19683
41/110, 69/28, 50386/166375, 197945/2744
41/111, 70/29, 426271/1367631, 1631589/24389
41/112, 71/30, 56265/175616, 210056/3375
41/113, 72/31, 474641/1442897, 1730143/29791
41/114, 53/40, 62480/185193, 44517/8000
41/114, 73/32, 62480/185193, 222585/4096
41/115, 74/33, 525723/1520875, 1832065/35937
41/116, 75/34, 69037/195112, 235538/4913
41/117, 76/35, 579565/1601613, 1937403/42875
41/118, 77/36, 75942/205379, 248921/5832
41/119, 78/37, 636215/1685159, 2046205/50653
41/120, 79/38, 83201/216000, 262740/6859
41/121, 80/39, 695721/1771561, 2158519/59319
41/122, 81/40, 90820/226981, 277001/8000
41/124, 83/42, 98805/238328, 291710/9261
41/125, 84/43, 823493/1953125, 2393875/79507
41/126, 85/44, 107162/250047, 306873/10648
41/127, 86/45, 891855/2048383, 2517013/91125
41/128, 87/46, 115897/262144, 322496/12167
41/129, 88/47, 963265/2146689, 2643855/103823
41/130, 89/48, 125016/274625, 338585/13824
41/131, 90/49, 1037771/2248091, 2774449/117649
41/132, 91/50, 134525/287496, 355146/15625
41/133, 92/51, 1115421/2352637, 2908843/132651
41/134, 93/52, 144430/300763, 372185/17576
41/135, 94/53, 1196263/2460375, 3047085/148877
41/136, 95/54, 154737/314432, 389708/19683
41/137, 96/55, 1280345/2571353, 3189223/166375
41/138, 97/56, 165452/328509, 407721/21952
41/139, 98/57, 1367715/2685619, 3335305/185193
41/140, 99/58, 176581/343000, 426230/24389
41/141, 100/59, 1458421/2803221, 3485379/205379
41/142, 101/60, 188130/357911, 445241/27000
41/143, 102/61, 1552511/2924207, 3639493/226981
41/144, 103/62, 200105/373248, 464760/29791
41/145, 104/63, 1650033/3048625, 3797695/250047
41/146, 105/64, 212512/389017, 484793/32768
41/147, 106/65, 1751035/3176523, 3960033/274625
41/148, 107/66, 225357/405224, 505346/35937
41/149, 108/67, 1855565/3307949, 4126555/300763
41/150, 109/68, 238646/421875, 526425/39304
41/151, 110/69, 1963671/3442951, 4297309/328509
41/152, 111/70, 252385/438976, 548036/42875
41/153, 112/71, 2075401/3581577, 4472343/357911
41/154, 113/72, 266580/456533, 570185/46656
41/155, 114/73, 2190803/3723875, 4651705/389017
41/156, 115/74, 281237/474552, 592878/50653
41/157, 116/75, 2309925/3869893, 4835443/421875
41/158, 117/76, 296362/493039, 616121/54872
41/159, 118/77, 2432815/4019679, 5023605/456533
41/160, 119/78, 311961/512000, 639920/59319
41/161, 120/79, 2559521/4173281, 5216239/493039
41/162, 121/80, 328040/531441, 664281/64000
41/163, 122/81, 2690091/4330747, 5413393/531441
41/165, 124/83, 2824573/4492125, 5615115/571787
41/166, 125/84, 361662/571787, 714713/74088
41/167, 126/85, 2963015/4657463, 5821453/614125
41/168, 127/86, 379217/592704, 740796/79507
41/169, 53/135, 3105465/4826809, 617671/2460375
41/169, 82/29, 3105465/4826809, 2875365/24389
41/169, 128/87, 3105465/4826809, 6032455/658503
41/170, 129/88, 397276/614125, 767465/85184
41/171, 130/89, 3251971/5000211, 6248169/704969
41/172, 131/90, 415845/636056, 794726/91125
41/173, 132/91, 3402581/5177717, 6468643/753571
41/174, 133/92, 434930/658503, 822585/97336
41/175, 134/93, 3557343/5359375, 6693925/804357
41/176, 135/94, 454537/681472, 851048/103823
41/177, 136/95, 3716305/5545233, 6924063/857375
41/178, 137/96, 474672/704969, 880121/110592
41/179, 138/97, 3879515/5735339, 7159105/912673
41/180, 139/98, 495341/729000, 909810/117649
41/181, 140/99, 4047021/5929741, 7399099/970299
41/182, 141/100, 516550/753571, 940121/125000
41/183, 142/101, 4218871/6128487, 7644093/1030301
41/184, 143/102, 538305/778688, 971060/132651
41/185, 144/103, 4395113/6331625, 7894135/1092727
41/186, 145/104, 560612/804357, 1002633/140608
41/187, 146/105, 4575795/6539203, 8149273/1157625
41/188, 147/106, 583477/830584, 1034846/148877
41/189, 148/107, 4760965/6751269, 8409555/1225043
41/190, 149/108, 606906/857375, 1067705/157464
41/191, 150/109, 4950671/6967871, 8675029/1295029
41/192, 151/110, 630905/884736, 1101216/166375
41/193, 152/111, 5144961/7189057, 8945743/1367631
41/194, 153/112, 655480/912673, 1135385/175616
41/195, 154/113, 5343883/7414875, 9221745/1442897
41/196, 155/114, 680637/941192, 1170218/185193
41/197, 156/115, 5547485/7645373, 9503083/1520875
41/198, 157/116, 706382/970299, 1205721/195112
41/199, 158/117, 5755815/7880599, 9789805/1601613
42/25, 135/142, 255529/15625, 230336/357911
42/43, 49/55, 65395/79507, 51127/166375
42/85, 43, 7309/614125, 621265
42/89, 47/5, 41705/704969, 742349/125
42/95, 53/11, 109439/857375, 945155/1331
42/97, 55/13, 136513/912673, 1018597/2197
42/101, 59/17, 197693/1030301, 1174529/4913
42/103, 61/19, 231895/1092727, 1257115/6859
42/107, 65/23, 307763/1225043, 1431767/12167
42/109, 67/25, 349525/1295029, 1523929/15625
42/113, 71/29, 440945/1442897, 1718165/24389
42/115, 73/31, 490699/1520875, 1820335/29791
42/121, 79/37, 656713/1771561, 2147629/50653
42/125, 83/41, 781829/1953125, 2383625/68921
42/127, 85/43, 848863/2048383, 2507107/79507
42/131, 89/47, 992123/2248091, 2765279/103823
42/137, 95/53, 1230713/2571353, 3181277/148877
42/139, 97/55, 1316755/2685619, 3327799/166375
42/143, 101/59, 1498895/2924207, 3632915/205379
42/145, 103/61, 1595089/3048625, 3791605/226981
42/149, 107/65, 1797965/3307949, 4121489/274625
42/151, 109/67, 1904743/3442951, 4292779/300763
42/155, 113/71, 2129219/3723875, 4648295/357911
42/157, 115/73, 2247013/3869893, 4832617/389017
42/163, 121/79, 2623195/4330747, 5412415/493039
42/163, 154/163, 2623195/4330747, 2623195/4330747
42/167, 125/83, 2893463/4657463, 5821787/571787
42/169, 127/85, 3034585/4826809, 6033469/614125
42/173, 131/89, 3329045/5177717, 6471065/704969
42/179, 137/95, 3801995/5735339, 7163759/857375
42/181, 139/97, 3968173/5929741, 7404529/912673
42/185, 143/101, 4313609/6331625, 7901165/1030301
42/187, 145/103, 4492963/6539203, 8157127/1092727
42/191, 149/107, 4865183/6967871, 8684579/1225043
42/193, 151/109, 5058145/7189057, 8956165/1295029
42/197, 155/113, 5458013/7645373, 9515297/1442897
42/199, 157/115, 5665015/7880599, 9802939/1520875
43/18, 59/50, 46954/729, 46954/15625
43/22, 89/80, 40160/1331, 135289/64000
43/25, 97/72, 281881/15625, 281881/46656
43/63, 130/161, -45793/250047, -17919/4173281
43/64, 79/100, -6061/32768, -6061/125000
43/82, 101/144, -3190/68921, -65395/373248
43/82, 153/196, -3190/68921, -65395/941192
43/87, 44, 7655/658503, 665985
43/88, 45/2, 1979/85184, 87076
43/89, 46/3, 24537/704969, 727931/27
43/90, 47/4, 4222/91125, 94995/8
43/91, 48/5, 43555/753571, 792701/125
43/92, 49/6, 6735/97336, 103270/27
43/93, 50/7, 64757/804357, 860343/343
43/94, 51/8, 9524/103823, 111907/64
43/95, 52/9, 88191/857375, 930905/729
43/96, 53/10, 12595/110592, 120912/125
43/96, 197/165, 12595/110592, 14427229/4492125
43/97, 54/11, 113905/912673, 1004435/1331
43/98, 55/12, 15954/117649, 130291/216
43/99, 56/13, 141947/970299, 1080981/2197
43/100, 57/14, 19607/125000, 140050/343
43/101, 58/15, 172365/1030301, 1160591/3375
43/102, 59/16, 23560/132651, 150195/512
43/103, 60/17, 205207/1092727, 1243313/4913
43/104, 61/18, 27819/140608, 160732/729
43/105, 62/19, 240521/1157625, 1329195/6859
43/106, 63/20, 32390/148877, 171667/1000
43/107, 64/21, 278355/1225043, 1418285/9261
43/108, 65/22, 37279/157464, 183006/1331
43/109, 66/23, 318757/1295029, 1510631/12167
43/110, 67/24, 42492/166375, 194755/1728
43/111, 68/25, 361775/1367631, 1606281/15625
43/112, 69/26, 48035/175616, 206920/2197
43/113, 70/27, 407457/1442897, 1705283/19683
43/114, 71/28, 53914/185193, 219507/2744
43/115, 72/29, 455851/1520875, 1807685/24389
43/116, 73/30, 60135/195112, 232522/3375
43/117, 74/31, 507005/1601613, 1913535/29791
43/118, 75/32, 66704/205379, 245971/4096
43/119, 76/33, 560967/1685159, 2022881/35937
43/120, 77/34, 73627/216000, 259860/4913
43/121, 78/35, 617785/1771561, 2135771/42875
43/121, 79/95, 617785/1771561, 58527/857375
43/122, 79/36, 80910/226981, 274195/5832
43/123, 80/37, 677507/1860867, 2252253/50653
43/124, 81/38, 88559/238328, 288982/6859
43/125, 82/39, 740181/1953125, 2372375/59319
43/126, 51/14, 96580/250047, 96580/343
43/126, 83/40, 96580/250047, 304227/8000
43/127, 84/41, 805855/2048383, 2496185/68921
43/128, 85/42, 104979/262144, 319936/9261
43/130, 87/44, 113762/274625, 336115/10648
43/131, 88/45, 946395/2248091, 2755061/91125
43/132, 89/46, 122935/287496, 352770/12167
43/133, 90/47, 1021357/2352637, 2890223/103823
43/134, 91/48, 132504/300763, 369907/13824
43/135, 92/49, 1099511/2460375, 3029265/117649
43/136, 93/50, 142475/314432, 387532/15625
43/137, 94/51, 1180905/2571353, 3172235/132651
43/138, 95/52, 152854/328509, 405651/17576
43/139, 96/53, 1265587/2685619, 3319181/148877
43/140, 97/54, 163647/343000, 424270/19683
43/141, 98/55, 1353605/2803221, 3470151/166375
43/142, 99/56, 174860/357911, 443395/21952
43/143, 100/57, 1445007/2924207, 3625193/185193
43/144, 101/58, 186499/373248, 463032/24389
43/145, 102/59, 1539841/3048625, 3784355/205379
43/146, 103/60, 198570/389017, 483187/27000
43/147, 104/61, 1638155/3176523, 3947685/226981
43/148, 105/62, 211079/405224, 503866/29791
43/149, 106/63, 1739997/3307949, 4115231/250047
43/150, 107/64, 224032/421875, 525075/32768
43/151, 108/65, 1845415/3442951, 4287041/274625
43/152, 109/66, 237435/438976, 546820/35937
43/153, 110/67, 1954457/3581577, 4463163/300763
43/154, 111/68, 251294/456533, 569107/39304
43/155, 112/69, 2067171/3723875, 4643645/328509
43/156, 113/70, 265615/474552, 591942/42875
43/157, 114/71, 2183605/3869893, 4828535/357911
43/158, 115/72, 280404/493039, 615331/46656
43/159, 116/73, 2303807/4019679, 5017881/389017
43/160, 117/74, 295667/512000, 639280/50653
43/161, 118/75, 2427825/4173281, 5211731/421875
43/162, 119/76, 311410/531441, 663795/54872
43/163, 120/77, 2555707/4330747, 5410133/456533
43/164, 121/78, 327639/551368, 688882/59319
43/165, 122/79, 2687501/4492125, 5613135/493039
43/166, 123/80, 344360/571787, 714547/64000
43/167, 124/81, 2823255/4657463, 5820785/531441
43/168, 125/82, 361579/592704, 740796/68921
43/169, 126/83, 2963017/4826809, 6033131/571787
43/170, 127/84, 379302/614125, 767635/74088
43/171, 128/85, 3106835/5000211, 6250221/614125
43/173, 130/87, 3254757/5177717, 6472103/658503
43/174, 131/88, 416284/658503, 823107/85184
43/175, 132/89, 3406831/5359375, 6698825/704969
43/176, 133/90, 435555/681472, 851752/91125
43/177, 134/91, 3563105/5545233, 6930435/753571
43/178, 135/92, 455354/704969, 881011/97336
43/179, 136/93, 3723627/5735339, 7166981/804357
43/180, 137/94, 475687/729000, 910890/103823
43/181, 138/95, 3888445/5929741, 7408511/857375
43/182, 139/96, 496560/753571, 941395/110592
43/183, 140/97, 4057607/6128487, 7655073/912673
43/184, 141/98, 517979/778688, 972532/117649
43/185, 142/99, 4231161/6331625, 7906715/970299
43/186, 143/100, 539950/804357, 1004307/125000
43/187, 144/101, 4409155/6539203, 8163485/1030301
43/188, 145/102, 562479/830584, 1036726/132651
43/189, 146/103, 4591637/6751269, 8425431/1092727
43/190, 147/104, 585572/857375, 1069795/140608
43/191, 148/105, 4778655/6967871, 8692601/1157625
43/192, 149/106, 609235/884736, 1103520/148877
43/193, 150/107, 4970257/7189057, 8965043/1225043
43/194, 151/108, 633474/912673, 1137907/157464
43/195, 152/109, 5166491/7414875, 9242805/1295029
43/196, 153/110, 658295/941192, 1172962/166375
43/197, 154/111, 5367405/7645373, 9525935/1367631
43/198, 155/112, 683704/970299, 1208691/175616
43/199, 156/113, 5573047/7880599, 9814481/1442897
44/61, 94/183, -36315/226981, -162745/6128487
44/89, 45, 8009/704969, 712801
44/91, 47/3, 25635/753571, 777595/27
44/93, 49/5, 45445/804357, 845277/125
44/93, 77/93, 45445/804357, 45445/804357
44/93, 121/149, 45445/804357, 28365/3307949
44/95, 51/7, 67487/857375, 915895/343
44/97, 53/9, 91809/912673, 989497/729
44/101, 57/13, 147485/1030301, 1145845/2197
44/103, 59/15, 178935/1092727, 1228687/3375
44/105, 61/17, 212857/1157625, 1314705/4913
44/107, 63/19, 249299/1225043, 1403947/6859
44/109, 65/21, 288309/1295029, 1496461/9261
44/111, 67/23, 329935/1367631, 1592295/12167
44/113, 69/25, 374225/1442897, 1691497/15625
44/115, 71/27, 421227/1520875, 1794115/19683
44/117, 73/29, 470989/1601613, 1900197/24389
44/119, 75/31, 523559/1685159, 2009791/29791
44/123, 79/35, 637315/1860867, 2239707/42875
44/125, 81/37, 698597/1953125, 2360125/50653
44/127, 83/39, 762879/2048383, 2484247/59319
44/129, 85/41, 830209/2146689, 2612121/68921
44/131, 87/43, 900635/2248091, 2743795/79507
44/133, 89/45, 974205/2352637, 2879317/91125
44/135, 91/47, 1050967/2460375, 3018735/103823
44/137, 93/49, 1130969/2571353, 3162097/117649
44/139, 95/51, 1214259/2685619, 3309451/132651
44/141, 97/53, 1300885/2803221, 3460845/148877
44/145, 101/57, 1484337/3048625, 3775945/185193
44/147, 103/59, 1581259/3176523, 3939747/205379
44/149, 105/61, 1681709/3307949, 4107781/226981
44/151, 107/63, 1785735/3442951, 4280095/250047
44/153, 109/65, 1893385/3581577, 4456737/274625
44/155, 111/67, 2004707/3723875, 4637755/300763
44/157, 113/69, 2119749/3869893, 4823197/328509
44/159, 115/71, 2238559/4019679, 5013111/357911
44/161, 117/73, 2361185/4173281, 5207545/389017
44/163, 119/75, 2487675/4330747, 5406547/421875
44/167, 123/79, 2752439/4657463, 5818447/493039
44/169, 125/81, 2890809/4826809, 6031441/531441
44/171, 127/83, 3033235/5000211, 6249195/571787
44/173, 129/85, 3179765/5177717, 6471757/614125
44/175, 131/87, 3330447/5359375, 6699175/658503
44/177, 133/89, 3485329/5545233, 6931497/704969
44/179, 135/91, 3644459/5735339, 7168771/753571
44/181, 137/93, 3807885/5929741, 7411045/804357
44/183, 139/95, 3975655/6128487, 7658367/857375
44/185, 141/97, 4147817/6331625, 7910785/912673
44/189, 145/101, 4505509/6751269, 8431101/1030301
44/191, 147/103, 4691135/6967871, 8699095/1092727
44/193, 149/105, 4881345/7189057, 8972377/1157625
44/195, 151/107, 5076187/7414875, 9250995/1225043
44/197, 153/109, 5275709/7645373, 9534997/1295029
44/199, 155/111, 5479959/7880599, 9824431/1367631
45/61, 81/101, -32219/226981, -19459/1030301
45/91, 46, 8371/753571, 761761
45/92, 47/2, 2161/97336, 99406
45/94, 49/4, 4598/103823, 108053/8
45/97, 52/7, 70273/912673, 973783/343
45/98, 53/8, 10324/117649, 126469/64
45/101, 56/11, 123101/1030301, 1130291/1331
45/101, 60/169, 123101/1030301, 1687609/4826809
45/101, 109/49, 123101/1030301, 5820529/117649
45/103, 58/13, 153127/1092727, 1213237/2197
45/104, 59/14, 21133/140608, 156988/343
45/106, 61/16, 25352/148877, 167957/512
45/107, 62/17, 220643/1225043, 1388753/4913
45/109, 64/19, 258229/1295029, 1481419/6859
45/112, 67/22, 39941/175616, 203336/1331
45/113, 68/23, 341297/1442897, 1676807/12167
45/116, 71/26, 51337/195112, 229042/2197
45/118, 73/28, 57554/205379, 242549/2744
45/119, 74/29, 486359/1685159, 1995749/24389
45/121, 76/31, 540361/1771561, 2109151/29791
45/122, 77/32, 71056/226981, 270901/4096
45/124, 79/34, 78353/238328, 285758/4913
45/127, 82/37, 719983/2048383, 2471293/50653
45/128, 83/38, 94069/262144, 316864/6859
45/131, 86/41, 854891/2248091, 2731481/68921
45/133, 88/43, 927037/2352637, 2867347/79507
45/134, 89/44, 120538/300763, 367093/10648
45/136, 91/46, 130157/314432, 384812/12167
45/137, 92/47, 1080953/2571353, 3150863/103823
45/139, 94/49, 1162819/2685619, 3298609/117649
45/142, 97/52, 161486/357911, 440981/17576
45/143, 98/53, 1336607/2924207, 3606317/148877
45/146, 101/56, 184492/389017, 480997/21952
45/148, 103/58, 196649/405224, 501794/24389
45/149, 104/59, 1623149/3307949, 4099139/205379
45/151, 106/61, 1725751/3442951, 4271941/226981
45/152, 107/62, 222301/438976, 544996/29791
45/154, 109/64, 235808/456533, 567413/32768
45/157, 112/67, 2055493/3869893, 4816603/300763
45/158, 113/68, 264214/493039, 613909/39304
45/161, 116/71, 2294081/4173281, 5202071/357911
45/163, 118/73, 2419147/4330747, 5401657/389017
45/164, 119/74, 310393/551368, 687898/50653
45/166, 121/76, 326762/571787, 713717/54872
45/167, 122/77, 2681063/4657463, 5814773/456533
45/169, 124/79, 2818009/4826809, 6028399/493039
45/172, 127/82, 378881/636056, 794726/68921
45/173, 128/83, 3104117/5177717, 6470027/571787
45/176, 131/86, 416197/681472, 851752/79507
45/178, 133/88, 435644/704969, 881189/85184
45/179, 134/89, 3564539/5735339, 7169129/704969
45/181, 136/91, 3726541/5929741, 7412131/753571
45/182, 137/92, 476146/753571, 941941/97336
45/184, 139/94, 497213/778688, 973268/103823
45/187, 142/97, 4238803/6539203, 8171713/912673
45/188, 143/98, 541009/830584, 1037854/117649
45/191, 146/101, 4602671/6967871, 8704061/1030301
45/193, 148/103, 4791457/7189057, 8978167/1092727
45/194, 149/104, 610948/912673, 1139653/140608
45/196, 151/106, 635417/941192, 1174922/148877
45/197, 152/107, 5182973/7645373, 9542483/1225043
45/199, 154/109, 5385799/7880599, 9832789/1295029
46/15, 134/133, 528143/3375, 2496285/2352637
46/15, 137/169, 528143/3375, 21945/4826809
46/45, 61/169, 108053/91125, 1611865/4826809
46/45, 108/47, 108053/91125, 5795855/103823
46/45, 123/152, 108053/91125, 235/438976
46/93, 47, 8741/804357, 812913
46/95, 49/3, 27903/857375, 883595/27
46/97, 51/5, 49345/912673, 957293/125
46/99, 53/7, 73115/970299, 1034055/343
46/101, 55/9, 99261/1030301, 1113929/729
46/103, 57/11, 127831/1092727, 1196963/1331
46/105, 59/13, 158873/1157625, 1283205/2197
46/107, 61/15, 192435/1225043, 1372703/3375
46/109, 63/17, 228565/1295029, 1465505/4913
46/111, 65/19, 267311/1367631, 1561659/6859
46/113, 67/21, 308721/1442897, 1661213/9261
46/117, 71/25, 399725/1601613, 1870713/15625
46/119, 73/27, 449415/1685159, 1980755/19683
46/121, 75/29, 501961/1771561, 2094389/24389
46/123, 77/31, 557411/1860867, 2211663/29791
46/125, 79/33, 615813/1953125, 2332625/35937
46/127, 81/35, 677215/2048383, 2457323/42875
